"Wr.Hnd","NW.Hnd","W.Hnd","Height","Age","Sex"
19.4,19.6,"Right",175.26,19.083,"Female"
18.9,19.1,"Right",170,17.75,"Male"
17.5,17.3,"Right",175,20.167,"Female"
17.5,17,"Right",163,17.667,"Female"
19.5,18.5,"Right",170,18.25,"Female"
17.5,17.5,"Right",180,18.583,"Male"
19.7,20.1,"Right",180.34,17.75,"Male"
18.5,18.5,"Right",175,24.167,"Female"
19.2,19.6,"Right",190.5,18.167,"Male"
17.2,16.7,"Right",170.18,21.167,"Female"
20.5,21,"Right",185,17.917,"Male"
16,15.5,"Right",162.56,17.417,"Female"
16.9,16,"Right",158,20.5,"Female"
17,16.7,"Right",159,22.917,"Female"
23,22,"Left",193.04,18.917,"Male"
18.5,18,"Left",171,18.917,"Female"
21,20.4,"Right",184,20.083,"Male"
22.5,22.5,"Right",177,18.25,"Male"
18.5,18,"Right",172,17.5,"Female"
19.8,20,"Left",180,17.417,"Male"
18.5,18.1,"Right",175.26,21,"Male"
16,16,"Right",172.72,17.667,"Female"
18.8,19.1,"Right",178.5,18.083,"Male"
17.5,17,"Right",157,18,"Female"
16.4,16.5,"Right",152,18.333,"Female"
22,21.5,"Right",187.96,20,"Male"
19,19.5,"Right",178,18.75,"Male"
15.4,16.4,"Left",160.02,18.5,"Female"
17.9,17.8,"Right",175.26,18.417,"Male"
23.1,22.5,"Right",189,19.167,"Male"
22,22,"Right",182.88,19.333,"Male"
19.5,18.5,"Right",167,18.667,"Female"
18,18.6,"Right",175,17.5,"Female"
19,18.8,"Right",172.72,17.25,"Female"
21.4,21,"Right",180,19,"Male"
20,19.5,"Left",172,19.167,"Female"
18.5,18.5,"Right",185,19,"Male"
22.5,22.6,"Right",187.96,23,"Male"
19.5,20.2,"Right",185.42,32.667,"Male"
18,18,"Right",165,20,"Female"
18,18.5,"Right",164,20.167,"Female"
21.8,22.3,"Right",195,25.5,"Male"
13,12.5,"Right",165,18.167,"Female"
16.3,16.2,"Right",152.4,23.5,"Female"
21.5,21.6,"Right",172.72,70.417,"Male"
18.9,19.1,"Right",180.34,43.833,"Male"
20.5,20,"Right",173,23.583,"Male"
18.9,19.2,"Right",167.64,44.25,"Female"
18.5,19,"Right",187,17.917,"Male"
17.5,17.1,"Right",167,18.417,"Female"
20.2,20.3,"Right",191.8,17.5,"Male"
16.5,16.9,"Right",169.2,29.083,"Female"
17.6,17.2,"Right",168,18.5,"Female"
19.5,19.2,"Right",170,18.167,"Female"
16.5,15,"Right",160.02,32.75,"Female"
19,18.5,"Right",180.34,17.333,"Male"
20.5,19.5,"Left",182.88,18.667,"Male"
18,17.5,"Right",165,18.667,"Female"
17.5,18,"Right",157.48,17.75,"Female"
19,18.5,"Left",170,17.25,"Female"
20.5,20.5,"Right",172.72,36.583,"Male"
16.7,17,"Right",164,23.083,"Female"
17,16.5,"Right",162.56,17.167,"Female"
19,19.5,"Right",172,23.417,"Male"
14,13.5,"Right",165.1,17.083,"Female"
17.5,17.6,"Right",162.5,17.25,"Female"
18.5,19,"Right",170,23.833,"Male"
18,18.5,"Right",175,18.75,"Male"
20.5,20.7,"Right",168,21.167,"Male"
17,17,"Right",163,24.667,"Female"
18.5,18.5,"Right",165,18.5,"Male"
18,18.5,"Right",173,20.333,"Male"
18.5,18,"Right",196,20.083,"Male"
20,19.5,"Right",179.1,18.917,"Male"
22,22.5,"Right",180,27.333,"Male"
17.9,18.4,"Right",176,18.917,"Male"
17.6,17.8,"Right",160.02,17.25,"Female"
17,17.6,"Right",165,26.5,"Female"
15,13,"Right",170.18,17,"Female"
16,15.5,"Right",154.94,17.167,"Male"
19.1,19,"Right",170,19.167,"Female"
17.5,16.5,"Right",164,17.5,"Female"
16.2,15.8,"Right",167,19.25,"Female"
21,21,"Right",174,21.333,"Male"
18.5,18,"Right",160,20.167,"Female"
17,17.5,"Right",179.1,18.667,"Male"
17.5,17,"Right",168,17.083,"Female"
17.5,17.6,"Right",153.5,17.417,"Female"
17.5,17.6,"Right",160,18.583,"Male"
17.5,17,"Left",165,19.5,"Male"
18.6,18.6,"Right",160,17.167,"Female"
17.5,17.5,"Left",163,17.25,"Female"
17,17.5,"Right",165,20.417,"Male"
18,17.8,"Right",168.9,17.083,"Female"
18.2,19.8,"Right",185,19.333,"Male"
23.2,23.2,"Right",188,18.917,"Male"
15.9,16.5,"Right",167.64,17.333,"Female"
17.5,18.4,"Right",162.56,18.167,"Female"
18.8,18.3,"Right",170.18,18.417,"Female"
20,19.8,"Right",185,17.417,"Male"
18.6,18.8,"Right",167,20.333,"Female"
18.6,19.6,"Right",185,19.333,"Male"
18.8,18.5,"Right",169,18.167,"Female"
18,18,"Right",165.1,17.667,"Female"
18.5,18,"Right",160,16.917,"Female"
21,21.5,"Right",183,17.167,"Male"
17.6,17.3,"Right",168.5,17.75,"Female"
